frame,track_id,cx,cy,speed,acceleration
449,29,155.635,654.0400000000001,23.818766760686863,-6.976285195755757
450,29,180.92000000000002,646.695,26.330215532729724,2.5114487720428613
452,29,194.60999999999999,646.44,26.533167922432483,13.67595885514261
58,32,134.32999999999998,658.8399999999999,39.53873828285367,38.078806777611035
154,32,212.125,645.0999999999999,23.555344404189885,19.560898770767473
158,32,175.26999999999998,651.6700000000001,16.01272445414722,5.1320799419871275
159,32,224.245,646.5649999999999,49.24034575426947,33.22762130012225
160,32,203.82,646.045,20.43161826679425,-28.80872748747522
161,32,226.75,645.12,22.948649742414045,2.5170314756197953
192,32,182.72,644.2600000000001,29.606622992161725,27.27042950702398
193,32,217.925,645.035,35.21352936017633,5.606906368014606
425,32,218.965,644.0749999999999,28.669102706572446,22.494230238253756
426,32,192.495,643.915,26.470483561884546,-2.1986191446878998
444,32,175.095,647.46,31.71314632766671,22.681147656276178
448,32,209.655,645.835,19.049933234791133,17.29134715501001
399,35,204.37,646.59,64.30157463079732,64.1405622089163
400,35,144.91,663.69,61.870037982855656,-2.4315366479416625
422,35,224.035,647.595,19.25482447660845,16.958893292970757
456,35,159.23000000000002,656.515,18.558198323113157,17.266126343694086
457,35,175.625,653.0899999999999,16.748929816558427,-1.80926850655473
467,35,169.19,652.735,19.584502163700755,12.894263005045804
331,44,1007.4649999999999,454.515,16.962844690676082,9.69041559167485
352,44,1216.75,427.37,16.66001200479768,8.645512644263597
397,44,1682.205,369.94500000000005,18.15785298431495,5.290666034557928
155,49,209.895,644.5,16.21080272534335,15.250802725343341
160,49,226.255,646.73,19.387915050360622,16.25246452451909
161,49,207.505,645.225,18.81030369239157,-0.5776113579690509
163,49,226.135,645.33,18.199446420152455,17.257679463841143
166,49,178.10000000000002,657.24,24.783622112193324,12.049101606889652
167,49,215.6,641.275,40.75697762346957,15.973355511276242
168,49,182.68,645.125,33.14436452852882,-7.612613094940748
196,78,1414.78,292.975,32.58730772862343,
198,78,1416.01,314.36,22.030297887227942,21.410741594386025
200,78,1414.395,342.0,26.901602182769697,24.38237114929939
201,78,1411.725,312.125,29.994074831539653,3.092472648769956
210,78,1399.775,324.295,22.48234918775173,21.43302665498224
443,87,157.385,653.205,26.0183329596652,23.549360501333595
444,87,131.12,649.935,26.467775218178044,0.4494422585128426
458,87,170.34,655.05,46.071042966271115,42.27232607763626
461,87,121.205,657.3050000000001,24.257909148358188,23.586995592078374
467,87,176.505,643.4250000000001,57.47969250091722,55.75617864834742
471,87,135.485,661.0999999999999,47.07125370117093,46.19612513918704
474,87,182.54,642.945,46.3562104792874,43.175958916910574
406,109,1858.86,344.31,47.96500807880696,46.85978185761961
455,109,1915.56,321.55499999999995,18.178932861969667,12.042311234396482
442,118,168.615,651.355,51.455177096187334,
443,118,129.175,650.26,39.455197693079676,-11.999979403107659
451,118,192.96,646.5300000000001,29.26475098134273,27.417980150947148
462,118,181.825,646.37,29.36310493204014,28.446317061265198
467,118,118.95500000000001,655.855,17.554782982297315,7.344190443174027
472,119,2026.4450000000002,298.09999999999997,32.49829726308762,29.547415863732873
474,119,2030.97,265.58,16.416653320637533,-16.08164394245009
